epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2545.35,0.78441,0.63472,0.94149,0.83205,0.79116,0.8573,0.67331,1.02057,5.60023,1.08235,0.000515,0.000515,0.000515
77,2579.4,0.79892,0.63953,0.946,0.81924,0.80645,0.85457,0.67391,1.02788,5.62745,1.08699,0.0004952,0.0004952,0.0004952
78,2613.34,0.78274,0.63344,0.93891,0.81627,0.80676,0.85463,0.67807,1.00569,5.22497,1.07555,0.0004754,0.0004754,0.0004754
79,2647.12,0.78715,0.63821,0.93957,0.82669,0.80013,0.85783,0.67455,1.03097,4.68119,1.08255,0.0004556,0.0004556,0.0004556
80,2681.04,0.76612,0.62017,0.93109,0.81787,0.8035,0.85433,0.67281,1.02706,5.76672,1.08207,0.0004358,0.0004358,0.0004358
81,2715.26,0.78052,0.63278,0.94138,0.82819,0.79928,0.85465,0.66868,1.05041,5.51686,1.08004,0.000416,0.000416,0.000416
82,2749.89,0.77327,0.63551,0.9446,0.82665,0.79548,0.85664,0.67076,1.03148,5.98786,1.07618,0.0003962,0.0003962,0.0003962
83,2784.16,0.77433,0.63966,0.94165,0.82634,0.79767,0.85886,0.67471,1.01803,5.20671,1.07891,0.0003764,0.0003764,0.0003764
84,2817.86,0.76742,0.62997,0.93647,0.83117,0.79266,0.85826,0.67396,1.02077,5.31374,1.08005,0.0003566,0.0003566,0.0003566
85,2851.9,0.77065,0.62404,0.9365,0.82658,0.79425,0.85842,0.67935,1.00044,5.65004,1.07372,0.0003368,0.0003368,0.0003368
86,2886.02,0.77374,0.63271,0.94055,0.83666,0.78971,0.85893,0.6761,1.01148,5.48764,1.07582,0.000317,0.000317,0.000317
87,2920.3,0.78157,0.6475,0.94631,0.81367,0.80628,0.85853,0.68426,0.99893,5.15973,1.07848,0.0002972,0.0002972,0.0002972
88,2954.9,0.75808,0.61708,0.93337,0.82965,0.79116,0.85708,0.67542,1.0164,5.49627,1.07489,0.0002774,0.0002774,0.0002774
89,2988.55,0.76534,0.62757,0.93945,0.81621,0.80229,0.8568,0.67998,1.00056,5.50257,1.0728,0.0002576,0.0002576,0.0002576
90,3022.43,0.76237,0.62685,0.93375,0.81432,0.80734,0.86005,0.68237,0.99572,4.71071,1.07542,0.0002378,0.0002378,0.0002378
91,3061.73,0.62814,0.49822,0.87336,0.81234,0.79382,0.84562,0.67056,1.01393,5.79474,1.093,0.000218,0.000218,0.000218
92,3094.63,0.61674,0.48697,0.87563,0.81684,0.7891,0.8481,0.66944,1.01893,5.66375,1.0937,0.0001982,0.0001982,0.0001982
93,3127.45,0.60045,0.47467,0.86707,0.82489,0.78654,0.85364,0.67324,1.00816,5.99903,1.08838,0.0001784,0.0001784,0.0001784
94,3160.41,0.61088,0.47789,0.86906,0.82143,0.7895,0.84847,0.67097,1.00909,5.82114,1.0857,0.0001586,0.0001586,0.0001586
95,3193.27,0.60022,0.47247,0.87097,0.81514,0.79929,0.8491,0.67627,1.00316,6.61875,1.08876,0.0001388,0.0001388,0.0001388
96,3226.13,0.6019,0.47206,0.86682,0.82593,0.79332,0.85218,0.67005,1.01233,6.11123,1.0875,0.000119,0.000119,0.000119
97,3259.22,0.59981,0.47166,0.86855,0.83111,0.78634,0.85146,0.67084,1.01496,5.9771,1.0939,9.92e-05,9.92e-05,9.92e-05
98,3292.08,0.59477,0.46229,0.8659,0.81725,0.79847,0.85174,0.67069,1.01081,6.08414,1.08944,7.94e-05,7.94e-05,7.94e-05
99,3325.07,0.59235,0.46331,0.86336,0.82588,0.7905,0.85122,0.67155,1.01158,6.22283,1.08999,5.96e-05,5.96e-05,5.96e-05
100,3358.01,0.59113,0.46509,0.86657,0.82386,0.79598,0.85171,0.67206,1.01182,6.23126,1.08943,3.98e-05,3.98e-05,3.98e-05
